source,case_id,g_level,omega_rad_s,R_m,rho_kgm3,mu_Pas,T_K,p_Pa,P_w_W,error_pct,geometry_id,data_origin,notes,geometry_type,R_chamber_m,gap_radial_m,h_rotor_m,H_pole_m,H_chamber_m,gap_axial_m,geom_confidence,Cp,Re_Omega,M_tip,Pi_confinement,Pi_gap,Pi_aspect_axial,Pi_blockage
Xia2024,Xia2024_T2_030g,30.0,8.087026647662292,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,20750.0,18.3,ZJU400_enclosed_arm,cfd_validated,"g=30g, motor=25.41kW, sim=20.75kW, deviation=-18.3%",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.035314230116364365,10834569.915223097,0.10602630955538996,0.9,0.1111111111111111,0.1111111111111111,0.05729577951308232
Xia2024,Xia2024_T2_045g,45.0,9.904544411531507,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,36250.0,13.2,ZJU400_enclosed_arm,cfd_validated,"g=45g, motor=41.76kW, sim=36.25kW, deviation=-13.2%",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.03358170667851753,13269583.937403092,0.12985517886054088,0.9,0.1111111111111111,0.1111111111111111,0.05729577951308232
Xia2024,Xia2024_T2_060g,60.0,11.436782764396638,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,51210.0,15.2,ZJU400_enclosed_arm,cfd_validated,"g=60g, motor=60.4kW, sim=51.21kW, deviation=-15.2%",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.030813527869981806,15322395.71658802,0.14994384494160054,0.9,0.1111111111111111,0.1111111111111111,0.05729577951308232
Xia2024,Xia2024_T2_075g,75.0,12.786711852544421,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,73100.0,23.5,ZJU400_enclosed_arm,cfd_validated,"g=75g, motor=95.57kW, sim=73.1kW, deviation=-23.5%",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.031473062599938637,17130959.200221203,0.1676423150485534,0.9,0.1111111111111111,0.1111111111111111,0.05729577951308232
Xia2024,Xia2024_T2_090g,90.0,14.007141035914502,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,90710.0,13.7,ZJU400_enclosed_arm,cfd_validated,"g=90g, motor=105.1kW, sim=90.71kW, deviation=-13.7%",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.02971015561026564,18766025.571323626,0.18364295508896092,0.9,0.1111111111111111,0.1111111111111111,0.05729577951308232
Xia2024,Xia2024_T2_120g,120.0,16.174053295324583,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,148100.0,7.8,ZJU400_enclosed_arm,cfd_validated,"g=120g, motor=160.55kW, sim=148.1kW, deviation=-7.8%",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.03150624988092507,21669139.830446195,0.2120526191107799,0.9,0.1111111111111111,0.1111111111111111,0.05729577951308232
Xia2024,Xia2024_F7_R4350,1440.6880733944954,57.0,4.35,1.2041183163746156,1.82e-05,293.15,101325.0,1242600.0,3.0,CHIEF_original_arm,digitized_from_figure,"Fig7, R=4350mm, ω=57 rad/s, per-arm torque=21800 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.007155192634269374,71359392.52588591,0.7223977255213746,0.8699999999999999,0.1149425287356322,0.1149425287356322,0.05538592019597957
Xia2024,Xia2024_F7_R4400,1457.2477064220184,57.0,4.4,1.2041183163746156,1.82e-05,293.15,101325.0,1271100.0,3.0,CHIEF_original_arm,digitized_from_figure,"Fig7, R=4400mm, ω=57 rad/s, per-arm torque=22300 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.006912777876880051,73009266.18053384,0.7307011476538042,0.8800000000000001,0.11363636363636363,0.11363636363636363,0.05602253996834716
Xia2024,Xia2024_F7_R4450,1473.8073394495414,57.0,4.45,1.2041183163746156,1.82e-05,293.15,101325.0,1293900.0,3.0,CHIEF_original_arm,digitized_from_figure,"Fig7, R=4450mm, ω=57 rad/s, per-arm torque=22700 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.0066502339531855905,74677995.53409202,0.7390045697862339,0.89,0.11235955056179775,0.11235955056179775,0.05665915974071474
Xia2024,Xia2024_F7_R4500,1490.366972477064,57.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,1322400.0,3.0,CHIEF_original_arm,digitized_from_figure,"Fig7, R=4500mm, ω=57 rad/s, per-arm torque=23200 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.006427417895738809,76365580.58656046,0.7473079919186634,0.9,0.1111111111111111,0.1111111111111111,0.05729577951308232
