pressure_kpa,t_s,omega_rad_s
10,44.98451930905698,0.5049424956723654
10,45.989529202202384,0.48395233178177155
10,46.99473568360301,0.47245687079543863
10,47.999536305379955,0.4621467442194021
10,48.9837458928116,0.4502654174859194
10,49.98874310284376,0.43996339114503297
10,50.99394958424439,0.4296650467292148
10,51.99854727620949,0.40747801172977743
10,52.982541250716054,0.3971718125404804
10,53.988172616410225,0.3856842063276263
10,54.99317616799901,0.3749923868528507
10,55.997964106662714,0.3635010987149284
10,57.002555457071196,0.35320692714752083
10,57.98676504450284,0.34251118028600586
10,58.99239006864039,0.3207014198752257
10,59.99698141904887,0.31000542755203947
10,61.00197862908104,0.2882199678467096
10,61.985769673775756,0.2767326070955268
10,62.99140103946993,0.2660324419239299
10,63.99619531969025,0.24423888198344992
10,65.00098959991058,0.23354313512193492
10,65.9851928457856,0.2232450361677879
10,66.99019639737439,0.20145123076563676
10,67.99521263207642,0.18955787641026456
10,69.00000057074011,0.16895799657690236
10,70.00499778077229,0.14677832542760147
10,70.98962591094084,0.12497691071364266
10,71.99462946252963,0.11428091839045641
10,72.99942374274995,0.09249545868512657
10,74.00401509315844,0.08179946636194033
10,74.98883981158222,0.0703160329974969
10,75.99404629298286,0.04930205932479527
10,76.9984347135795,0.037810771186872975
10,78.00343826516828,0.016024820558200693
