source,case_id,g_level,omega_rad_s,R_m,rho_kgm3,mu_Pas,T_K,p_Pa,P_w_W,error_pct,geometry_id,data_origin,notes,geometry_type,R_chamber_m,gap_radial_m,h_rotor_m,H_pole_m,H_chamber_m,gap_axial_m,geom_confidence,Cp,Re_Omega,M_tip,Pi_confinement,Pi_gap,Pi_aspect_axial,Pi_blockage
Xia2024,Xia2024_T2_020g,20.0,6.603029607687671,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,12240.0,26.3,ZJU400_enclosed_arm,cfd_validated,"g=20g, motor=16.6kW, sim=12.24kW, deviation=-26.3%",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.0382692497348843,8846389.291602062,0.0865701192403605,0.9,0.1111111111111111,0.1111111111111111,0.0572957795130823
Xia2024,Xia2024_T2_030g,30.0,8.087026647662292,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,20750.0,18.3,ZJU400_enclosed_arm,cfd_validated,"g=30g, motor=25.41kW, sim=20.75kW, deviation=-18.3%",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.0353142301163643,10834569.915223096,0.1060263095553899,0.9,0.1111111111111111,0.1111111111111111,0.0572957795130823
Xia2024,Xia2024_T2_045g,45.0,9.904544411531509,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,36250.0,13.2,ZJU400_enclosed_arm,cfd_validated,"g=45g, motor=41.76kW, sim=36.25kW, deviation=-13.2%",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.0335817066785175,13269583.937403092,0.1298551788605408,0.9,0.1111111111111111,0.1111111111111111,0.0572957795130823
Xia2024,Xia2024_T2_060g,60.0,11.436782764396638,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,51210.0,15.2,ZJU400_enclosed_arm,cfd_validated,"g=60g, motor=60.4kW, sim=51.21kW, deviation=-15.2%",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.0308135278699818,15322395.71658802,0.1499438449416005,0.9,0.1111111111111111,0.1111111111111111,0.0572957795130823
Xia2024,Xia2024_T2_075g,75.0,12.78671185254442,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,73100.0,23.5,ZJU400_enclosed_arm,cfd_validated,"g=75g, motor=95.57kW, sim=73.1kW, deviation=-23.5%",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.0314730625999386,17130959.200221203,0.1676423150485534,0.9,0.1111111111111111,0.1111111111111111,0.0572957795130823
Xia2024,Xia2024_T2_090g,90.0,14.007141035914502,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,90710.0,13.7,ZJU400_enclosed_arm,cfd_validated,"g=90g, motor=105.1kW, sim=90.71kW, deviation=-13.7%",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.0297101556102656,18766025.571323626,0.1836429550889609,0.9,0.1111111111111111,0.1111111111111111,0.0572957795130823
Xia2024,Xia2024_T2_120g,120.0,16.174053295324583,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,148100.0,7.8,ZJU400_enclosed_arm,cfd_validated,"g=120g, motor=160.55kW, sim=148.1kW, deviation=-7.8%",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.031506249880925,21669139.830446195,0.2120526191107799,0.9,0.1111111111111111,0.1111111111111111,0.0572957795130823
Xia2024,Xia2024_F7_R4350,1440.6880733944954,57.0,4.35,1.2041183163746156,1.82e-05,293.15,101325.0,1242600.0,3.0,CHIEF_original_arm,digitized_from_figure,"Fig7, R=4350mm, ω=57 rad/s, per-arm torque=21800 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.0071551926342693,71359392.52588591,0.7223977255213746,0.8699999999999999,0.1149425287356322,0.1149425287356322,0.0553859201959795
Xia2024,Xia2024_F7_R4400,1457.2477064220184,57.0,4.4,1.2041183163746156,1.82e-05,293.15,101325.0,1271100.0,3.0,CHIEF_original_arm,digitized_from_figure,"Fig7, R=4400mm, ω=57 rad/s, per-arm torque=22300 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.00691277787688,73009266.18053384,0.7307011476538042,0.8800000000000001,0.1136363636363636,0.1136363636363636,0.0560225399683471
Xia2024,Xia2024_F7_R4450,1473.8073394495414,57.0,4.45,1.2041183163746156,1.82e-05,293.15,101325.0,1293900.0,3.0,CHIEF_original_arm,digitized_from_figure,"Fig7, R=4450mm, ω=57 rad/s, per-arm torque=22700 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.0066502339531855,74677995.53409202,0.7390045697862339,0.89,0.1123595505617977,0.1123595505617977,0.0566591597407147
Xia2024,Xia2024_F7_R4500,1490.366972477064,57.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,1322400.0,3.0,CHIEF_original_arm,digitized_from_figure,"Fig7, R=4500mm, ω=57 rad/s, per-arm torque=23200 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.0064274178957388,76365580.58656046,0.7473079919186634,0.9,0.1111111111111111,0.1111111111111111,0.0572957795130823
Xia2024,Xia2024_F7_R4550,1506.9266055045869,57.0,4.55,1.2041183163746156,1.82e-05,293.15,101325.0,1379400.0,3.0,CHIEF_original_arm,digitized_from_figure,"Fig7, R=4550mm, ω=57 rad/s, per-arm torque=24200 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.0063440924670005,78072021.33793913,0.7556114140510929,0.91,0.1098901098901098,0.1098901098901098,0.0579323992854499
Xia2024,Xia2024_F7_R4600,1523.48623853211,57.0,4.6,1.2041183163746156,1.82e-05,293.15,101325.0,1453500.0,3.0,CHIEF_original_arm,digitized_from_figure,"Fig7, R=4600mm, ω=57 rad/s, per-arm torque=25500 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.0063293941841571,79797317.7882281,0.7639148361835225,0.92,0.108695652173913,0.108695652173913,0.0585690190578174
Xia2024,Xia2024_F7_R4650,1540.045871559633,57.0,4.65,1.2041183163746156,1.82e-05,293.15,101325.0,1482000.0,3.0,CHIEF_original_arm,digitized_from_figure,"Fig7, R=4650mm, ω=57 rad/s, per-arm torque=26000 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.006113919344271,81541469.93742733,0.7722182583159521,0.93,0.1075268817204301,0.1075268817204301,0.059205638830185
Xia2024,Xia2024_F9_h1400,1490.366972477064,57.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,1071600.0,3.0,CHIEF_original_arm,digitized_from_figure,"Fig9, h=1400mm, ω=57 rad/s, per-arm torque=18800 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.0052084248465469,76365580.58656046,0.7473079919186634,0.9,0.1111111111111111,0.1111111111111111,0.0572957795130823
Xia2024,Xia2024_F9_h1600,1490.366972477064,57.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,1094400.0,3.0,CHIEF_original_arm,digitized_from_figure,"Fig9, h=1600mm, ω=57 rad/s, per-arm torque=19200 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.0053192423964734,76365580.58656046,0.7473079919186634,0.9,0.1111111111111111,0.1111111111111111,0.0572957795130823
Xia2024,Xia2024_F9_h1800,1490.366972477064,57.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,1208400.0,3.0,CHIEF_original_arm,digitized_from_figure,"Fig9, h=1800mm, ω=57 rad/s, per-arm torque=21200 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.0058733301461061,76365580.58656046,0.7473079919186634,0.9,0.1111111111111111,0.1111111111111111,0.0572957795130823
Xia2024,Xia2024_F9_h2000,1490.366972477064,57.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,1339500.0,3.0,CHIEF_original_arm,digitized_from_figure,"Fig9, h=2000mm, ω=57 rad/s, per-arm torque=23500 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.0065105310581837,76365580.58656046,0.7473079919186634,0.9,0.1111111111111111,0.1111111111111111,0.0572957795130823
Xia2024,Xia2024_F9_h2200,1490.366972477064,57.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,1396500.0,3.0,CHIEF_original_arm,digitized_from_figure,"Fig9, h=2200mm, ω=57 rad/s, per-arm torque=24500 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.006787574933,76365580.58656046,0.7473079919186634,0.9,0.1111111111111111,0.1111111111111111,0.0572957795130823
Xia2024,Xia2024_F13_original_w10,45.87155963302752,10.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,7500.0,5.0,CHIEF_original_arm,digitized_from_figure,"Fig13, Actual CHIEF armature shape, ω=10 rad/s, per-arm torque=750 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.0067508666195868,13397470.278343938,0.1311066652488883,0.9,0.1111111111111111,0.1111111111111111,0.0572957795130823
Xia2024,Xia2024_F13_original_w20,183.4862385321101,20.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,60000.0,5.0,CHIEF_original_arm,digitized_from_figure,"Fig13, Actual CHIEF armature shape, ω=20 rad/s, per-arm torque=3000 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.0067508666195868,26794940.55668788,0.2622133304977766,0.9,0.1111111111111111,0.1111111111111111,0.0572957795130823
Xia2024,Xia2024_F13_original_w30,412.8440366972477,30.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,186000.0,5.0,CHIEF_original_arm,digitized_from_figure,"Fig13, Actual CHIEF armature shape, ω=30 rad/s, per-arm torque=6200 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.006200796006139,40192410.835031815,0.3933199957466649,0.9,0.1111111111111111,0.1111111111111111,0.0572957795130823
Xia2024,Xia2024_F13_original_w40,733.9449541284404,40.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,460000.0,5.0,CHIEF_original_arm,digitized_from_figure,"Fig13, Actual CHIEF armature shape, ω=40 rad/s, per-arm torque=11500 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.0064695805104374,53589881.11337575,0.5244266609955532,0.9,0.1111111111111111,0.1111111111111111,0.0572957795130823
Xia2024,Xia2024_F13_original_w57,1490.366972477064,57.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,1282500.0,5.0,CHIEF_original_arm,digitized_from_figure,"Fig13, Actual CHIEF armature shape, ω=57 rad/s, per-arm torque=22500 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.0062334871833673,76365580.58656046,0.7473079919186634,0.9,0.1111111111111111,0.1111111111111111,0.0572957795130823
Xia2024,Xia2024_F13_non_chamfer_w10,45.87155963302752,10.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,9000.0,5.0,CHIEF_non_chamfer_arm,digitized_from_figure,"Fig13, Armature with no chamfer treatment, ω=10 rad/s, per-arm torque=900 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.0081010399435042,13397470.278343938,0.1311066652488883,0.9,0.1111111111111111,0.1111111111111111,0.0572957795130823
Xia2024,Xia2024_F13_non_chamfer_w20,183.4862385321101,20.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,76000.0,5.0,CHIEF_non_chamfer_arm,digitized_from_figure,"Fig13, Armature with no chamfer treatment, ω=20 rad/s, per-arm torque=3800 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.0085510977181433,26794940.55668788,0.2622133304977766,0.9,0.1111111111111111,0.1111111111111111,0.0572957795130823
Xia2024,Xia2024_F13_non_chamfer_w30,412.8440366972477,30.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,225000.0,5.0,CHIEF_non_chamfer_arm,digitized_from_figure,"Fig13, Armature with no chamfer treatment, ω=30 rad/s, per-arm torque=7500 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.007500962910652,40192410.835031815,0.3933199957466649,0.9,0.1111111111111111,0.1111111111111111,0.0572957795130823
Xia2024,Xia2024_F13_non_chamfer_w40,733.9449541284404,40.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,520000.0,5.0,CHIEF_non_chamfer_arm,digitized_from_figure,"Fig13, Armature with no chamfer treatment, ω=40 rad/s, per-arm torque=13000 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.0073134388378857,53589881.11337575,0.5244266609955532,0.9,0.1111111111111111,0.1111111111111111,0.0572957795130823
